Bille
t	x	y
0.016554757367439336 -0.0056100429073119296	0.004699997401453021
0.033109514734879573 -0.005280280671150356	0.00360078994758109
0.04966427210231891	-0.005390201416537538	0.0032710277114195163
0.06621902946975826	-0.006049725888860741	0.0033809484568066983
0.08277378683719759	-0.00473067694421439	0.0022817410029347673
0.09932854420463783	-0.004071152471891243	0.0019519787667731658
0.11588330157207716	-0.0025322620364705006	-2.6594650196332115E-5
0.13243805893951652	-8.834508556626042E-4	-0.001125802104068263
0.14899281630695582	6.55439579758138E-4	-0.0031043755210377333
0.1655475736743961	0.001974488524404433	-0.006401997882653582
0.18210233104183632	0.00703084281221536	-0.0116781936612389
0.19865708840927565	0.009998702937669579	-0.016514706458275408
0.21521184577671498	0.01461537424393175	-0.02201074372763509
0.23176660314415432	0.020331253004065825	-0.027177018760833227
0.24832136051159456	0.024838003564940758	-0.03355242199329045
0.2648761178790339	0.03385150468669068	-0.040477428952683664
0.28143087524647326	0.03989714568298633	-0.048061960384400054
0.2979856326139126	0.047151914878541146	-0.056525857779213984
0.3145403899813528	0.05438340224955218	-0.06419590856862625
0.3310951473487922	0.0625353780584385	-0.07410979471836174
0.34764990471623153	0.07176699215209309	-0.08521960962824313
0.36420466208367175	0.08075184025670484	-0.09630591464886981
0.3807594194511111	0.0905371158277839	-0.10829937718265212
0.3973141768185513	0.1011786184443097	-0.12065614576017722
0.4138689341859907	0.11270126789819312	-0.13333328935449493
0.43042369155342997	0.12492698999412016	-0.14604877346145148
0.4469784489208693	0.13760715851995875	-0.15932465182157882
0.4635332062883095	0.15068059271863365	-0.17243817244447388
0.4800879636557489	0.16456571343289172	-0.18487892092238387
0.49664272102318824	0.17948537627921202	-0.1978128385091714
0.5131974783906276	0.19469922557974984	-0.21106257930628167
0.5297522357580678	0.2111363724584026	-0.22330456555248948
0.5463069931255071	0.2273980775033168	-0.23456262062722563
0.5628617504929465	0.24531484873913417	-0.24686458681442044
0.5794165078603868	0.26330036066011064	-0.25810491814004444
0.595971265227827	0.28124537128640886	-0.26817790642126627
0.6125260225952663	0.30013931794344634	-0.2780842072733064
0.6290807799627056	0.3190441417758538	-0.28692327423513486
